Species	Infraorder	Family	Distribution	Body mass male (Kg)	Geographic range size (log km2)	Diet	Interaction	Fleshy fruits	Dry Fruits	Seeds	Flowers	Leaves	Gum	Bark	Nectar	Fungi	Vertebrates	Insects	Main References
Callicebus_regulus	Simiiformes	Pitheciidae	America	1.05	5.134003878	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11"
Callicebus_stephennashi	Simiiformes	Pitheciidae	America	1.05	4.312787437	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11"
Callicebus_torquatus	Simiiformes	Pitheciidae	America	1.21	6.21460757	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11, 265, 266"
Callimico_goeldii	Simiiformes	Cebidae	America	0.366	5.936054072	Frugivore	Antagonism	1	1	0	0	0	1	0	0	1	0	1	"3, 10, 11, 27, 102 350, 351, 352, 353"
Callithrix (Mico)_acariensis	Simiiformes	Cebidae	America	0.37	3.080265627	Frugivore	Antagonism	1	0	0	0	0	1	0	0	0	0	0	"10, 11"
Callithrix (Mico)_argentata	Simiiformes	Cebidae	America	1.36	5.915436	Frugivore	Mutualism	1	1	0	0	0	1	0	0	0	0	1	"10, 11, 43, 328"
Callithrix (Mico)_chrysoleuca	Simiiformes	Cebidae	America	0.37	3.884795364	Frugivore	Antagonism	1	0	0	0	0	1	0	0	0	0	0	"10, 11"
Callithrix (Mico)_emiliae	Simiiformes	Cebidae	America	0.33	5.12501256	Frugivore	Antagonism	1	0	0	0	0	1	0	0	0	0	0	"10, 11, 156, 277"
Callithrix (Mico)_humeralifer	Simiiformes	Cebidae	America	0.472	5.183186	Frugivore	Mutualism	1	1	0	1	0	1	0	0	0	1	1	"10, 11, 386, 387"
Callithrix (Mico)_intermedia	Simiiformes	Cebidae	America	0.37	3.024074987	Frugivore	Mutualism	1	1	0	1	0	1	0	0	0	1	1	"10, 11, 386"
Callithrix (Mico)_leucippe	Simiiformes	Cebidae	America	1.36	4.217062606	Frugivore	Mutualism	1	1	0	0	0	1	0	0	0	0	1	"10, 11"
Callithrix (Mico)_manicorensis	Simiiformes	Cebidae	America	0.37	3.220369632	Frugivore	Antagonism	1	0	0	0	0	1	0	0	0	0	0	"10, 11"
