Species Name ,Order,Brain Mass (g),Body Mass (g),EQ,Independent contrast derived EQ,PGLS-ML dervived EQ,Reference,Notes
Cheirogaleus major,Primates,6.80,450.00,1.27,0.144278386,1.359475655,Stephan 1981; Silva & Downing 1995,
Tamias panamintinus,Rodentia,1.83,51.20,1.73,0.153028106,1.347966638,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Onychogalea fraenata,Diprotodontia,13.50,1433.00,1.07,0.13791512,1.347026329,Warncke 1908,
Callosciurus prevostii,Rodentia,6.52,439.00,1.24,0.140514759,1.322997166,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Bradypus tridactylus,Xenarthra,24.90,4097.00,0.90,0.131100027,1.322847555,Crile & Quiring 1940; Warncke 1908; Silva & Downing 1995,
Tamias palmeri,Rodentia,1.99,60.80,1.66,0.149306727,1.322211588,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sciurus aureogaster,Rodentia,7.81,595.00,1.19,0.13893136,1.320477133,Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Tragulus napu,Cetartiodactyla,18.50,2510.00,0.96,0.132692712,1.318734979,Warncke 1908,
Choloepus didactylus,Xenarthra,28.20,5070.00,0.87,0.129795174,1.318361048,Sherwood/this study; Silva & Downing 1995,
Thylogale billardierii,Diprotodontia,22.90,3618.00,0.91,0.130385058,1.310572111,Ashwell 2007; Silva & Downing 1995,
Bettongia gaimardi,Diprotodontia,12.12,1273.00,1.05,0.133434568,1.298489988,Ashwell 2007; Silva & Downing 1995,
Tamias dorsalis,Rodentia,1.98,62.20,1.62,0.146437706,1.297719976,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Cabassous unicinctus,Xenarthra,23.68,3930.00,0.88,0.127993955,1.289841061,Pirlot & Kamiya 1983,
Tamiasciurus hudsonicus,Rodentia,3.83,188.90,1.37,0.140528971,1.288990242,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Tamias townsendii,Rodentia,2.44,89.40,1.53,0.143537478,1.286403892,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Funisciurus anerythrus,Rodentia,4.14,218.00,1.33,0.138772609,1.278546346,Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Iomys horsfieldii,Rodentia,3.38,155.50,1.40,0.140218165,1.2784051,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
